,Title,Likes,Views,Uploaded Date
0,Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children,32M,"9,837,241,037","Jun 17, 2016"
1,Luis Fonsi - Despacito ft. Daddy Yankee,46M,"7,662,077,326","Jan 13, 2017"
2,Johny Johny Yes Papa 👶 THE BEST Song for Children | LooLoo Kids,17M,"6,008,737,802","Oct 8, 2016"
3,Ed Sheeran - Shape of You (Official Music Video),28M,"5,555,501,444","Jan 30, 2017"
4,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,36M,"5,354,666,584","Apr 6, 2015"
5,Bath Song | CoComelon Nursery Rhymes & Kids Songs,12M,"4,736,323,140","May 2, 2018"
6,Learning Colors – Colorful Eggs on a Farm,12M,"4,537,388,252","Feb 27, 2018"
7,Masha and The Bear - Recipe for disaster (Episode 17),7.7M,"4,473,433,183","Jan 31, 2012"
8,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,17M,"4,392,873,816","Nov 19, 2014"
9,Nursery Rhymes & Songs For Babies by ChuChu TV  S1 • E1,"4,349,975,635 viewsMar 6, 2014",LIKE,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children
10,PSY - GANGNAM STYLE(강남스타일) M/V,23M,"4,276,502,842","Jul 15, 2012"
11,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],15M,"3,753,352,109","Apr 5, 2018"
12,Maroon 5 - Sugar (Official Music Video),14M,"3,606,344,087","Jan 14, 2015"
13,Justin Bieber - Sorry (PURPOSE : The Movement),14M,"3,493,255,136","Oct 22, 2015"
14,Katy Perry - Roar (Official),14M,"3,484,447,685","Sep 5, 2013"
15,OneRepublic - Counting Stars (Official Music Video),14M,"3,462,373,037","May 31, 2013"
16,Wheels on the Bus | CoComelon Nursery Rhymes & Kids Songs,10M,"3,410,530,645","May 24, 2018"
17,Ed Sheeran - Thinking Out Loud (Official Music Video),13M,"3,373,780,428","Oct 7, 2014"
18,Alan Walker - Faded,24M,"3,194,873,834","Dec 4, 2015"
19,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),19M,"3,194,603,335","May 31, 2018"
20,Katy Perry - Dark Horse (Official) ft. Juicy J,14M,"3,190,599,120","Feb 20, 2014"
21,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)",8.9M,"3,136,234,989","Apr 11, 2014"
22,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),14M,"3,134,349,273","Mar 23, 2015"
